,datatype,image,mask,confound,session,subject,task,template,fds_mean_raw,fds_mean_scrubbed,dice,qc,reason
10,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9968/ses-1/func/sub-BCT9968_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9968/ses-1/func/sub-BCT9968_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BCT9968/ses-1/func/sub-BCT9968_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BCT9968,rest,MNI152NLin2009cAsym,0.1252870975156626,0.11589728282204077,0.9198600989702331,pass,
11,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI1080/ses-1/anat/sub-BRI1080_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI1080/ses-1/anat/sub-BRI1080_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI1080,,MNI152NLin2009cAsym,,,0.9880102093462744,fail,anat dice 0.9880102093462744 < 0.99
12,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI1080/ses-1/func/sub-BRI1080_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI1080/ses-1/func/sub-BRI1080_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI1080/ses-1/func/sub-BRI1080_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI1080,rest,MNI152NLin2009cAsym,0.1912847434578313,0.17289718146502056,0.909145375957547,pass,
13,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2365/ses-1/anat/sub-BRI2365_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2365/ses-1/anat/sub-BRI2365_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI2365,,MNI152NLin2009cAsym,,,0.9854643741457734,fail,anat dice 0.9854643741457734 < 0.99
14,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2365/ses-1/func/sub-BRI2365_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2365/ses-1/func/sub-BRI2365_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2365/ses-1/func/sub-BRI2365_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI2365,rest,MNI152NLin2009cAsym,0.12952933952056545,0.12714959693798708,0.9096030071645052,pass,
15,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2747/ses-1/anat/sub-BRI2747_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2747/ses-1/anat/sub-BRI2747_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI2747,,MNI152NLin2009cAsym,,,0.9802955398958335,fail,anat dice 0.9802955398958335 < 0.99
16,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2747/ses-1/func/sub-BRI2747_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2747/ses-1/func/sub-BRI2747_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI2747/ses-1/func/sub-BRI2747_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI2747,rest,MNI152NLin2009cAsym,0.25434896205622487,0.2180769183787879,0.8894165394029414,fail,func dice 0.8894165394029414 < 0.89; 
17,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5370/ses-1/anat/sub-BRI5370_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5370/ses-1/anat/sub-BRI5370_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI5370,,MNI152NLin2009cAsym,,,0.9881109423909281,fail,anat dice 0.9881109423909281 < 0.99
18,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5370/ses-1/func/sub-BRI5370_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5370/ses-1/func/sub-BRI5370_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5370/ses-1/func/sub-BRI5370_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI5370,rest,MNI152NLin2009cAsym,0.22139283961044173,0.19781131720920503,0.9305705652720496,pass,
19,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5562/ses-1/anat/sub-BRI5562_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5562/ses-1/anat/sub-BRI5562_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI5562,,MNI152NLin2009cAsym,,,0.990208522939127,pass,
20,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5562/ses-1/func/sub-BRI5562_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5562/ses-1/func/sub-BRI5562_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5562/ses-1/func/sub-BRI5562_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI5562,rest,MNI152NLin2009cAsym,0.14071909103212848,0.13702204925910927,0.9196650728055562,pass,
21,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5792/ses-1/anat/sub-BRI5792_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5792/ses-1/anat/sub-BRI5792_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI5792,,MNI152NLin2009cAsym,,,0.9883546609346645,fail,anat dice 0.9883546609346645 < 0.99
22,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5792/ses-1/func/sub-BRI5792_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5792/ses-1/func/sub-BRI5792_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI5792/ses-1/func/sub-BRI5792_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI5792,rest,MNI152NLin2009cAsym,0.2576525269933221,0.25409009350137074,0.9279973721668674,pass,
23,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI6429/ses-1/anat/sub-BRI6429_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI6429/ses-1/anat/sub-BRI6429_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI6429,,MNI152NLin2009cAsym,,,0.9826478033063789,fail,anat dice 0.9826478033063789 < 0.99
24,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI6429/ses-1/func/sub-BRI6429_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI6429/ses-1/func/sub-BRI6429_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI6429/ses-1/func/sub-BRI6429_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI6429,rest,MNI152NLin2009cAsym,0.2988691249718875,0.20340242882511206,0.9050114746224048,pass,
25,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7331/ses-1/anat/sub-BRI7331_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7331/ses-1/anat/sub-BRI7331_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI7331,,MNI152NLin2009cAsym,,,0.98216874745574,fail,anat dice 0.98216874745574 < 0.99
26,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7331/ses-1/func/sub-BRI7331_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7331/ses-1/func/sub-BRI7331_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7331/ses-1/func/sub-BRI7331_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI7331,rest,MNI152NLin2009cAsym,0.6452502464096387,0.25498099964375,0.8854562688137323,fail,func dice 0.8854562688137323 < 0.89; 
27,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7822/ses-1/anat/sub-BRI7822_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7822/ses-1/anat/sub-BRI7822_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI7822,,MNI152NLin2009cAsym,,,0.9827445625081848,fail,anat dice 0.9827445625081848 < 0.99
28,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7822/ses-1/func/sub-BRI7822_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7822/ses-1/func/sub-BRI7822_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI7822/ses-1/func/sub-BRI7822_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI7822,rest,MNI152NLin2009cAsym,0.13346378967094832,0.13346378967094832,0.9200221226941971,pass,
29,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8484/ses-1/anat/sub-BRI8484_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8484/ses-1/anat/sub-BRI8484_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI8484,,MNI152NLin2009cAsym,,,0.9895866146469819,fail,anat dice 0.9895866146469819 < 0.99
30,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8484/ses-1/func/sub-BRI8484_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8484/ses-1/func/sub-BRI8484_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8484/ses-1/func/sub-BRI8484_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI8484,rest,MNI152NLin2009cAsym,0.13856897435341362,0.13856897435341362,0.9085700848671412,pass,
31,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8961/ses-1/anat/sub-BRI8961_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8961/ses-1/anat/sub-BRI8961_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI8961,,MNI152NLin2009cAsym,,,0.9886931809506257,fail,anat dice 0.9886931809506257 < 0.99
32,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8961/ses-1/func/sub-BRI8961_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8961/ses-1/func/sub-BRI8961_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI8961/ses-1/func/sub-BRI8961_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI8961,rest,MNI152NLin2009cAsym,0.2515549064341365,0.20357322661153845,0.9289101602286791,pass,
33,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9139/ses-1/anat/sub-BRI9139_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9139/ses-1/anat/sub-BRI9139_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI9139,,MNI152NLin2009cAsym,,,0.98677120663525,fail,anat dice 0.98677120663525 < 0.99
34,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9139/ses-1/func/sub-BRI9139_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9139/ses-1/func/sub-BRI9139_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9139/ses-1/func/sub-BRI9139_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI9139,rest,MNI152NLin2009cAsym,0.11214344534649798,0.11214344534649798,0.9189818086922483,pass,
35,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9210/ses-1/anat/sub-BRI9210_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9210/ses-1/anat/sub-BRI9210_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI9210,,MNI152NLin2009cAsym,,,0.9862918063388715,fail,anat dice 0.9862918063388715 < 0.99
36,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9210/ses-1/func/sub-BRI9210_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9210/ses-1/func/sub-BRI9210_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9210/ses-1/func/sub-BRI9210_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI9210,rest,MNI152NLin2009cAsym,0.27436239173052207,0.2558916190966245,0.9282149457213363,pass,
37,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9981/ses-1/anat/sub-BRI9981_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9981/ses-1/anat/sub-BRI9981_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,BRI9981,,MNI152NLin2009cAsym,,,0.9878844476514324,fail,anat dice 0.9878844476514324 < 0.99
38,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9981/ses-1/func/sub-BRI9981_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9981/ses-1/func/sub-BRI9981_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-BRI9981/ses-1/func/sub-BRI9981_ses-1_task-rest_desc-confounds_timeseries.tsv,1,BRI9981,rest,MNI152NLin2009cAsym,0.27674100304903615,0.24575858218705626,0.8898416125955199,fail,func dice 0.8898416125955199 < 0.89; 
39,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0140/ses-1/anat/sub-CBH0140_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0140/ses-1/anat/sub-CBH0140_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,CBH0140,,MNI152NLin2009cAsym,,,0.9904824834695414,pass,
40,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0140/ses-1/func/sub-CBH0140_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0140/ses-1/func/sub-CBH0140_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0140/ses-1/func/sub-CBH0140_ses-1_task-rest_desc-confounds_timeseries.tsv,1,CBH0140,rest,MNI152NLin2009cAsym,0.12683149326164134,0.12683149326164134,0.9410875293228235,pass,
41,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0964/ses-1/anat/sub-CBH0964_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0964/ses-1/anat/sub-CBH0964_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,CBH0964,,MNI152NLin2009cAsym,,,0.9906600310593425,pass,
42,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0964/ses-1/func/sub-CBH0964_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0964/ses-1/func/sub-CBH0964_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH0964/ses-1/func/sub-CBH0964_ses-1_task-rest_desc-confounds_timeseries.tsv,1,CBH0964,rest,MNI152NLin2009cAsym,0.15538848949675155,0.14423026604811165,0.9345976388320295,pass,
43,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1151/ses-1/anat/sub-CBH1151_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1151/ses-1/anat/sub-CBH1151_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,CBH1151,,MNI152NLin2009cAsym,,,0.9855682708248498,fail,anat dice 0.9855682708248498 < 0.99
44,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1151/ses-1/func/sub-CBH1151_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1151/ses-1/func/sub-CBH1151_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1151/ses-1/func/sub-CBH1151_ses-1_task-rest_desc-confounds_timeseries.tsv,1,CBH1151,rest,MNI152NLin2009cAsym,0.2926330735409339,0.2797363442334696,0.9194396934335015,pass,
45,anat,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1392/ses-1/anat/sub-CBH1392_ses-1_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1392/ses-1/anat/sub-CBH1392_ses-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,,1,CBH1392,,MNI152NLin2009cAsym,,,0.9897815361048293,fail,anat dice 0.9897815361048293 < 0.99
46,func,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1392/ses-1/func/sub-CBH1392_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1392/ses-1/func/sub-CBH1392_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,/scratch/dlussier/ccna_fmriprep/1641486564/fmriprep/sub-CBH1392/ses-1/func/sub-CBH1392_ses-1_task-rest_desc-confounds_timeseries.tsv,1,CBH1392,rest,MNI152NLin2009cAsym,0.19707121792240961,0.1905837913782857,0.9158747602732347,pass,
